spectrumfile,SN,host_z,z,m15,spec_type,Mv_peak,instrument,obsdate,phase,un_p,filter,SNR,exptime(s),exptime_total,shift,width,comments,m
2016gxp_GTC_20170620.txt,2016gxp,Y,0.017849,1.1,Ia,-19.7,GTC,6/20/2017,236,,,15,,,,,,
2016gfr_GTC_20170620.txt,2016gfr,Y,0.01669,0.9,Ia,-18.7,GTC,6/20/2017,268,,,4,,,,,,
2017jl_GTC_20170715.txt,2017jl,Y,0.016331,0.7,Ia,-19.3,GTC,7/15/2017,165,,,16,,,,,,
2017dei_LDSS3_20170720.txt,2017dei,Y,0.019804,1.9,Ia,-18.3,LDSS3,7/20/2017,84,,,22,1*1800,,,,,20
2016hpw_LDSS3_20170720.txt,2016hpw,Y,0.02117,1,Ia,-18.7,LDSS3,7/20/2017,251,,,5,4*1800,,,,,
ASASSN-17cs_LDSS3_20170720.txt,ASASSN-17cs,Y,0.01616,---,Ia,-19.7,LDSS3,7/20/2017,137,,,28,1*1700,,,,,
2017cbv_LDSS3_20170720.txt,2017cbv,Y,0.00399,1,Ia,---,LDSS3,7/20/2017,116,,,22,1*900,,,,,
2017bzc_LDSS3_20170720.txt,2017bzc,Y,0.005365,---,Ia,---,LDSS3,7/20/2017,127,,,124,1*900,,,,,
2017atv_GTC_20170803.txt,2017atv,Y,0.018479,---,Ia,-17.9,GTC,8/3/2017,165,,,13,,,,,,
2017dzs_GTC_20170810.txt,2017dzs,Y,0.017269,---,Ia,-19.3,GTC,8/10/2017,107,,,27,,,,,,
ASASSN-17hb_Palomar_20170818.txt,ASASSN-17hb,Y,0.019117,1.2,Ia,-18.9,Palomar,8/18/2017,73,,,59,1*1200,,,,,
2017cjt_Palomar_20170818.txt,2017cjt,Y,0.009376,---,Ia,---,Palomar,8/18/2017,144,,,46,1*1200,,,,,
2017ekr_Palomar_20170818.txt,2017ekr,Y,0.019914,1.5,Ia,-18.8,Palomar,8/18/2017,68,,,44,3*1200,,,,,
ASASSN-17em_Palomar_20170818.txt,ASASSN-17em,Y,0.01976,1.2,Ia,-19,Palomar,8/18/2017,127,,,21,3*1200,,,,m_r = 20.2,
2017dit_Palomar_20170818.txt,2017dit,Y,0.01859,1.2,Ia,-18.7,Palomar,8/18/2017,101,,,16,3*1200,,,,,
ASASSN-17gr_Palomar_20170819.txt,ASASSN-17gr,Y,0.016151,1.3,Ia,-18.6,Palomar,8/19/2017,76,,,29,,,,,,
